Place,Name,Gender,Time
598,Brendan Canese,M,2:59:26
599,Geoffrey Scott,M,2:59:27
600,Andrew Fenaroli,M,2:59:27
601,Justin Oh,M,2:59:27
602,Alex Galitsky,M,2:59:27
603,David Murnaghan,M,2:59:27
604,Michael Biblis,M,2:59:28
605,Winston Mei,M,2:59:28
606,Michael Dalton,M,2:59:30
607,Katarina Pohlod,F,2:59:30
608,Alex Doll,F,2:59:31
609,Gary McCoy,M,2:59:33
610,Cesar Hubbard,M,2:59:36
611,Brian Yeager,M,2:59:37
612,Edward Distel,M,2:59:37
613,Dennis Serna,M,2:59:39
614,Scott Diekema,M,2:59:40
615,Fisseha Asmerom,M,2:59:40
616,Seth Bender,M,2:59:40
617,Stephen Curtis,M,2:59:40
618,Salvador Herrera,M,2:59:41
619,Locky Trachsel,F,2:59:41
620,Ronny Arana,M,2:59:44
621,Markus Siegelin,M,2:59:44
622,Dave Bergart,M,2:59:45
623,Alan Yorke,M,2:59:48
624,Oliver Ernest,M,2:59:48
625,Hassetou Wandaogo,F,2:59:51
626,Hilario Meneses,M,2:59:52
627,Frederick Ketchum,M,2:59:52
628,Jacqueline Kehoe,F,2:59:52
629,Elias Cruz Vargas,M,2:59:53
630,Sandro Bernardes,M,2:59:53
631,Zack Garrett,M,2:59:54
632,Carlos Azofeifa,M,2:59:56
633,Tom Bourdi,M,2:59:57
634,Oscar Herrero,M,2:59:58
635,Shouqian Shi,M,2:59:59
636,Kieran Stewart,M,3:00:00
637,Aaron Barg,M,3:00:01
638,Casey Burnett,M,3:00:03
639,Zachary Carr,M,3:00:03
640,Jim Dangler,M,3:00:04
641,Alosha Southern,F,3:00:04
642,Albert P Wu,M,3:00:06
643,Natalie Kretzer,F,3:00:07
644,Eric Showen,M,3:00:08
645,Carlos Navarro Galicia,M,3:00:10
646,Fabian Hernandez,M,3:00:12
647,Joshua Rayman,M,3:00:15
648,Cayden Fitzgerald,M,3:00:17
649,Joseph Shayne,M,3:00:18
650,Michael Cullinan,M,3:00:20
651,Will Stockwell,M,3:00:22
652,Sam Njue,M,3:00:28
653,Raul Leyva,M,3:00:31
654,Christopher Grundberg,M,3:00:31
655,Vivien Lim,F,3:00:34
656,Pedro Trapero,M,3:00:39
657,Tim Saltarelli,M,3:00:41
658,Alfredo Lowe,M,3:00:42
659,Kelly De Csepel,F,3:00:42
660,Caedryn Schrunk,F,3:00:42
661,Brian Burke,M,3:00:43
662,Seth DeMoor,M,3:00:46
663,Eric Norris,M,3:00:46
664,Justin Tufano,M,3:00:47
665,Dara Lynn Filut,F,3:00:47
666,Megan Myers,F,3:00:50
667,Daniel Santa Ana,M,3:00:51
668,Aansh Mehta,M,3:00:52
669,Gaurav Hariani,M,3:00:53
670,Jason Smith,M,3:00:53
671,Tomas Tjarnberg,M,3:00:54
672,Łukasz Tatarek,M,3:00:54
673,Jake Wright,M,3:00:55
674,Sworupa Khadka,F,3:00:56
675,Matt Lissak,M,3:00:59
676,Thomas McKean,M,3:00:59
677,Alexandre Freedman,M,3:00:59
678,Michael Monroe,M,3:01:00
679,Andrew Sinclair,M,3:01:01
680,Andrew Frazier,M,3:01:02
681,Michael Connolly,M,3:01:02
682,Andrea La Bella,F,3:01:02
683,Darren Tomasso,M,3:01:08
684,Joseph Kitchell,M,3:01:09
685,Charles Parsons,M,3:01:09
686,Kjetil Orbekk,M,3:01:10
687,Timothy Dowling,M,3:01:10
688,Jacob Lott,M,3:01:12
689,Kenneth Ralston,M,3:01:14
690,Brian Geiszler,M,3:01:16
691,Marcello Mannino,M,3:01:17
692,Shengxi Duan,M,3:01:18
693,Dragan Mladenovic,M,3:01:20
694,Isaiah Brown,M,3:01:26
695,Tommy Ros,M,3:01:26
696,Carolina Pena,F,3:01:27
697,J.D. Amato,M,3:01:29
698,Matt Coneybeare,M,3:01:29
699,Juan Guillermo Anderson,M,3:01:29
700,Alexander Ferber,M,3:01:30
701,Michael Kirkland,M,3:01:31
702,Mary Kate Bida,F,3:01:34
703,Rexford Woodbury,M,3:01:35
704,Javier Hernandez,M,3:01:35
705,Yunzhi Gu,M,3:01:35
706,Miguel Cuaya,M,3:01:40
707,Sergey Korobov,M,3:01:40
708,Carrie Birth,F,3:01:42
709,Joseph Logan,M,3:01:44
710,Immanuel Wineman,M,3:01:44
711,Michael Steele,M,3:01:47
712,Thomas Li,M,3:01:50
713,Jochen Tilk,M,3:01:51
714,Michael Crainich,M,3:01:51
715,Lukasz Jarzyna,M,3:01:53
716,Azat Baltaev,M,3:01:54
717,Julian Cano,M,3:01:54
718,Ilshat Baltaev,M,3:01:54
719,Schuyler Hall,M,3:01:55
720,Daniel Showalter,M,3:01:55
721,Kevin Hii,M,3:01:56
722,Temmuz Coskun,M,3:01:57
723,Zoe Chazen,F,3:01:58
724,Julio Sauce,M,3:01:59
725,Brian Mcknight,M,3:02:01
726,Hanon Jhung,M,3:02:03
727,Kyle Jones,M,3:02:04
728,Gabrielle Yatauro,F,3:02:06
729,James Gann,M,3:02:07
730,Kevin Capasso,M,3:02:08
731,Matt Petruccione,M,3:02:08
732,Daniel Bersohn,M,3:02:12
733,Billy Martin,M,3:02:16
734,Attila Kovacs,M,3:02:17
